customer_id,recency,frequency,monetary,log_recency,log_frequency,log_monetary,cluster_name
194,4,1.1176,865.6000000000001,1.6094379124341003,0.7502833719307545,6.764577509305809,2
195,7,0.7647,450.75,2.0794415416798357,0.5679807042670505,6.113128929472338,1
196,1,0.7143,392.1499999999999,0.6931471805599453,0.5390048340312983,5.974191218437525,2
197,8,0.8908,497.8,2.1972245773362196,0.6370000199369442,6.212205213805881,1
198,0,0.3277,479.1500000000001,0.0,0.2834481219197193,6.174098555083982,0
199,3,0.8992,411.3499999999999,1.3862943611198906,0.6414327448732665,6.021872503279364,2
200,2,0.8487,556.75,1.0986122886681098,0.6144826893762628,6.323910833312642,2
201,6,0.6303,396.29999999999984,1.9459101490553132,0.48876404696347153,5.984691662820553,1
202,8,1.1008,944.0000000000005,2.1972245773362196,0.7423182245663947,6.851184927493743,1
203,5,0.605,489.44999999999993,1.791759469228055,0.4731237565819792,6.195323337010325,1
204,1,0.7479,561.75,0.6931471805599453,0.5584150673589038,6.332835479786842,2
205,7,0.9076,666.55,2.0794415416798357,0.6458459074419322,6.503614293836104,1
206,2,0.8487,532.7499999999999,1.0986122886681098,0.6144826893762628,6.2799275645428345,2
207,9,0.1849,150.0,2.302585092994046,0.16965838284055723,5.017279836814924,1
208,3,1.2521,696.8000000000004,1.3862943611198906,0.8118631142649293,6.547932528752674,2
209,8,1.1345,702.0,2.1972245773362196,0.7582324272158797,6.555356891810665,1
210,3,0.8487,530.9000000000002,1.3862943611198906,0.6144826893762628,6.276455501748273,2
211,1,0.8908,510.1500000000002,0.6931471805599453,0.6370000199369442,6.236663089203024,2
212,6,0.8992,510.55000000000007,1.9459101490553132,0.6414327448732665,6.237445332324949,1
213,3,0.7227,509.5,1.3862943611198906,0.5438928274701864,6.23539063760472,2
214,8,1.4622,1247.500000000001,2.1972245773362196,0.9010552592313775,7.129698109719828,1
215,6,1.042,896.3999999999997,1.9459101490553132,0.7139297197424739,6.799501693541883,1
216,3,0.9412,772.85,1.3862943611198906,0.6633063385489241,6.6513780563587686,2
217,6,0.4874,274.0,1.9459101490553132,0.39702962928706276,5.616771097666572,1
218,17,0.6303,690.5499999999998,2.8903717578961645,0.48876404696347153,6.538935455070717,1
219,2,0.5882,354.19999999999993,1.0986122886681098,0.4626012994789735,5.872681011118015,2
220,0,0.6807,330.5,0.0,0.5192103733003838,5.803627809625917,0
221,1,1.2101,894.1500000000004,0.6931471805599453,0.7930377633747405,6.7969913019972825,2
222,3,0.7815,491.44999999999993,1.3862943611198906,0.5774557060637537,6.199392932615711,2
223,3,0.5714,536.25,1.3862943611198906,0.4519669417595842,6.2864635355226195,2
224,0,1.3697,827.8000000000001,0.0,0.862763364856346,6.719978871505218,0
225,2,0.3109,129.5,1.0986122886681098,0.2707139242216265,4.871373226762748,2
226,20,0.6471,414.3999999999999,3.044522437723423,0.49901616580649305,6.0292419114420115,1
227,11,0.7227,284.19999999999993,2.4849066497880004,0.5438928274701864,5.653190688540141,1
